INDIVIDUALS	STRATA
CRA_1756	CRA
CRA_1757	CRA
CRA_1758	CRA
CRA_1759	CRA
CRA_1760	CRA
CRA_1761	CRA
CRA_1762	CRA
CRA_1763	CRA
CRA_1764	CRA
CRA_1765	CRA
CRA_1766	CRA
CRA_1768	CRA
CRA_1769	CRA
CRA_1770	CRA
CRA_1771	CRA
CRA_1772	CRA
CRA_1773	CRA
CRA_1774	CRA
CRA_1775	CRA
CRA_1776	CRA
CRA_1778	CRA
CRA_1780	CRA
CRA_1781	CRA
CRA_1782	CRA
CRA_1783	CRA
CRA_1784	CRA
CRA_1785	CRA
CRA_1786	CRA
HOP_2551	HOP
HOP_2552	HOP
HOP_2554	HOP
HOP_2556	HOP
HOP_2557	HOP
HOP_2558	HOP
HOP_2560	HOP
HOP_2561	HOP
HOP_2562	HOP
HOP_2566	HOP
HOP_2567	HOP
HOP_2568	HOP
HOP_2569	HOP
HOP_2570	HOP
HOP_2571	HOP
HOP_2572	HOP
HOP_2573	HOP
HOP_2574	HOP
HOP_2575	HOP
HOP_2576	HOP
HOP_2578	HOP
HOP_2579	HOP
HOP_2580	HOP
HOP_2581	HOP
HOP_2582	HOP
HOP_2583	HOP
HOP_2584	HOP
HOP_2585	HOP
HOP_2586	HOP
HOP_2587	HOP
HOP_2588	HOP
HOP_2589	HOP
HOP_2590	HOP
HOP_2591	HOP
JER_2592	JER
JER_2594	JER
JER_2595	JER
JER_2596	JER
JER_2597	JER
JER_2598	JER
JER_2600	JER
JER_2601	JER
JER_2602	JER
JER_2603	JER
JER_2604	JER
JER_2606	JER
JER_2608	JER
JER_2609	JER
JER_2610	JER
JER_2612	JER
JER_2614	JER
JER_2615	JER
JER_2616	JER
JER_2617	JER
JER_2618	JER
JER_2619	JER
JER_2620	JER
JER_2621	JER
JER_2622	JER
JER_2624	JER
JER_2625	JER
JER_2626	JER
JER_2627	JER
JER_2628	JER
JER_2629	JER
JER_2631	JER
LAS_2510	LAS
LAS_2511	LAS
LAS_2512	LAS
LAS_2513	LAS
LAS_2515	LAS
LAS_2517	LAS
LAS_2518	LAS
LAS_2519	LAS
LAS_2520	LAS
LAS_2521	LAS
LAS_2522	LAS
LAS_2523	LAS
LAS_2524	LAS
LAS_2528	LAS
LAS_2531	LAS
LAS_2534	LAS
LAS_2536	LAS
LAS_2537	LAS
LAS_2538	LAS
LAS_2540	LAS
LAS_2541	LAS
LAS_2542	LAS
LAS_2544	LAS
LAS_2547	LAS
LAS_2548	LAS
LAS_2549	LAS
LAS_2550	LAS
LAS_2996	LAS
MAL_2634	MAL
MAL_2635	MAL
MAL_2636	MAL
MAL_2638	MAL
MAL_2639	MAL
MAL_2640	MAL
MAL_2641	MAL
MAL_2642	MAL
MAL_2644	MAL
MAL_2645	MAL
MAL_2646	MAL
MAL_2648	MAL
MAL_2649	MAL
MAL_2650	MAL
MAL_2653	MAL
MAL_2654	MAL
MAL_2655	MAL
MAL_2656	MAL
MAL_2658	MAL
MAL_2659	MAL
MAL_2660	MAL
MAL_2661	MAL
MAL_2662	MAL
MAL_2663	MAL
MAL_2665	MAL
MAL_2666	MAL
MAL_2667	MAL
MAL_2668	MAL
MAL_2669	MAL
MAL_2670	MAL
MAL_2671	MAL
MAL_2672	MAL
MAL_2673	MAL
OGD_1278	OGD
OGD_1279	OGD
OGD_1280	OGD
OGD_1281	OGD
OGD_1282	OGD
OGD_1283	OGD
OGD_1284	OGD
OGD_1285	OGD
OGD_1286	OGD
OGD_1287	OGD
OGD_1288	OGD
OGD_1289	OGD
OGD_1290	OGD
OGD_1292	OGD
OGD_1293	OGD
OGD_1294	OGD
OGD_1295	OGD
OGD_1296	OGD
OGD_1297	OGD
OGD_1298	OGD
OGD_1299	OGD
OGD_1300	OGD
OGD_1491	OGD
OGD_1492	OGD
OGD_1493	OGD
OGD_1495	OGD
OGD_1496	OGD
OGD_1497	OGD
OGD_1498	OGD
OGD_1499	OGD
OGD_1500	OGD
QUA_2387	QUA
QUA_2388	QUA
QUA_2389	QUA
QUA_2391	QUA
QUA_2392	QUA
QUA_2394	QUA
QUA_2395	QUA
QUA_2397	QUA
QUA_2398	QUA
QUA_2399	QUA
QUA_2400	QUA
QUA_2401	QUA
QUA_2402	QUA
QUA_2404	QUA
QUA_2405	QUA
QUA_2407	QUA
QUA_2408	QUA
QUA_2409	QUA
QUA_2410	QUA
QUA_2411	QUA
QUA_2415	QUA
QUA_2416	QUA
QUA_2417	QUA
QUA_2418	QUA
QUA_2419	QUA
QUA_2420	QUA
QUA_2421	QUA
