SNP PROB LOG_PO Q_VALUE ALPHA FST SELECTION
1-75 0 -1000 0.9981 0 0.00476 neutral
1-163 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-409 0 -1000 0.9981 0 0.00476 neutral
1-1278 0.00020002 -3.6988 0.9926 2e-04 0.004763 neutral
1-4074 0 -1000 0.9981 0 0.00476 neutral
1-4093 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-4127 0 -1000 0.9981 0 0.00476 neutral
1-4449 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-4467 0 -1000 0.9981 0 0.00476 neutral
1-4551 0 -1000 0.9981 0 0.00476 neutral
1-4567 0 -1000 0.9981 0 0.00476 neutral
1-4573 0 -1000 0.9981 0 0.00476 neutral
1-4819 0 -1000 0.9981 0 0.00476 neutral
1-5138 0 -1000 0.9981 0 0.00476 neutral
1-5228 0 -1000 0.9981 0 0.00476 neutral
1-5230 0 -1000 0.9981 0 0.00476 neutral
1-5396 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-5421 0 -1000 0.9981 0 0.00476 neutral
1-5449 0 -1000 0.9981 0 0.00476 neutral
1-5475 0.00030003 -3.5227 0.9776 0 0.004761 neutral
1-5479 0 -1000 0.9981 0 0.00476 neutral
1-5974 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-6181 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-6199 0 -1000 0.9981 0 0.00476 neutral
1-6568 0 -1000 0.9981 0 0.00476 neutral
1-6627 0.00020002 -3.6988 0.9926 3e-04 0.004763 neutral
1-7335 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-8180 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-8495 0 -1000 0.9981 0 0.00476 neutral
1-8964 0 -1000 0.9981 0 0.00476 neutral
1-9032 0 -1000 0.9981 0 0.00476 neutral
1-9098 0 -1000 0.9981 0 0.00476 neutral
1-10152 0 -1000 0.9981 0 0.00476 neutral
1-11422 0 -1000 0.9981 0 0.00476 neutral
1-11750 0 -1000 0.9981 0 0.00476 neutral
1-11838 0.00030003 -3.5227 0.9776 3e-04 0.004763 neutral
1-12273 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-12297 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-12312 0.00030003 -3.5227 0.9776 1e-04 0.004762 neutral
1-12331 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-13190 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-13241 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-13296 0.00030003 -3.5227 0.9776 3e-04 0.004763 neutral
1-14839 0 -1000 0.9981 0 0.00476 neutral
1-14844 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-15409 0 -1000 0.9981 0 0.00476 neutral
1-15596 0 -1000 0.9981 0 0.00476 neutral
1-15611 0.00030003 -3.5227 0.9776 1e-04 0.004761 neutral
1-15775 0 -1000 0.9981 0 0.00476 neutral
1-15819 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-16356 0 -1000 0.9981 0 0.00476 neutral
1-16737 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-16778 0 -1000 0.9981 0 0.00476 neutral
1-16936 0 -1000 0.9981 0 0.00476 neutral
1-17226 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-17579 0 -1000 0.9981 0 0.00476 neutral
1-18029 0 -1000 0.9981 0 0.00476 neutral
1-18076 0 -1000 0.9981 0 0.00476 neutral
1-18308 0 -1000 0.9981 0 0.00476 neutral
1-18737 0 -1000 0.9981 0 0.00476 neutral
1-19255 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-19273 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-21075 0 -1000 0.9981 0 0.00476 neutral
1-21114 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-21365 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-21672 0 -1000 0.9981 0 0.00476 neutral
1-21730 0 -1000 0.9981 0 0.00476 neutral
1-22408 0 -1000 0.9981 0 0.00476 neutral
1-23484 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-23488 0 -1000 0.9981 0 0.00476 neutral
1-23490 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-23694 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-24045 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-24289 0 -1000 0.9981 0 0.00476 neutral
1-24824 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-25030 0 -1000 0.9981 0 0.00476 neutral
1-25083 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-26561 0 -1000 0.9981 0 0.00476 neutral
1-28130 0 -1000 0.9981 0 0.00476 neutral
1-28168 0 -1000 0.9981 0 0.00476 neutral
1-28833 0 -1000 0.9981 0 0.00476 neutral
1-28848 0 -1000 0.9981 0 0.00476 neutral
1-29642 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-29820 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-29827 0.00030003 -3.5227 0.9776 1e-04 0.004761 neutral
1-29930 0 -1000 0.9981 0 0.00476 neutral
1-31208 0.00030003 -3.5227 0.9776 2e-04 0.004762 neutral
1-31230 0 -1000 0.9981 0 0.00476 neutral
1-31520 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-31643 0 -1000 0.9981 0 0.00476 neutral
1-31821 0 -1000 0.9981 0 0.00476 neutral
1-31846 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-31847 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-32036 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-32037 0 -1000 0.9981 0 0.00476 neutral
1-32041 0 -1000 0.9981 0 0.00476 neutral
1-32472 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-32819 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-33210 0 -1000 0.9981 0 0.00476 neutral
1-33211 0 -1000 0.9981 0 0.00476 neutral
1-33288 0 -1000 0.9981 0 0.00476 neutral
1-34168 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-34447 0 -1000 0.9981 0 0.00476 neutral
1-34465 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-35039 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-35100 0 -1000 0.9981 0 0.00476 neutral
1-35191 0 -1000 0.9981 0 0.00476 neutral
1-35230 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-35670 0 -1000 0.9981 0 0.00476 neutral
1-36353 0 -1000 0.9981 0 0.00476 neutral
1-36887 0 -1000 0.9981 0 0.00476 neutral
