SNP PROB LOG_PO Q_VALUE ALPHA FST SELECTION
1-250551 1 1000 1e-04 2.9288 0.086312 diversifying
1-253632 1 1000 1e-04 2.8201 0.078306 diversifying
1-257077 0.67137 0.3103 0.0196 1.3577 0.027073 diversifying
1-313587 0.59666 0.1701 0.0477 1.1777 0.023478 diversifying
1-452050 0.9968 2.4934 2e-04 2.1539 0.043036 diversifying
1-485338 1 1000 1e-04 2.8183 0.077717 diversifying
1-485371 1 1000 1e-04 2.901 0.083823 diversifying
1-1062627 1 1000 1e-04 2.857 0.079873 diversifying
1-1063198 1 1000 1e-04 2.8264 0.077884 diversifying
1-1132017 1 1000 1e-04 2.4876 0.057549 diversifying
1-1137682 0.93989 1.1942 0.0056 2.1567 0.04661 diversifying
1-1281504 1 1000 1e-04 3.2573 0.11224 diversifying
1-1304635 1 1000 1e-04 3.1665 0.10377 diversifying
1-1347270 0.94129 1.205 0.003 2.085 0.044075 diversifying
1-1365080 0.66167 0.2913 0.0329 1.3371 0.026895 diversifying
1-1365101 1 1000 1e-04 2.2831 0.048223 diversifying
1-1469963 1 1000 1e-04 3.0106 0.091 diversifying
1-1543856 0.9999 3.9999 1e-04 2.5615 0.062951 diversifying
1-1730632 1 1000 1e-04 2.9078 0.082416 diversifying
1-1731026 1 1000 1e-04 2.8749 0.081818 diversifying
1-2016990 1 1000 1e-04 3.1181 0.10036 diversifying
1-2138184 1 1000 1e-04 2.4259 0.054581 diversifying
1-2367262 1 1000 1e-04 3.5149 0.13979 diversifying
1-2865960 1 1000 1e-04 3.5572 0.1441 diversifying
1-2925177 1 1000 1e-04 3.6889 0.15959 diversifying
