SNP PROB LOG_PO Q_VALUE ALPHA FST SELECTION
1-1103 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-3822 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-7356 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-7580 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-8498 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-11756 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-11823 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-13175 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-15088 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-16455 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-16664 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-16912 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-18074 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-18760 0.00030003 -3.5227 0.9776 -2e-04 0.004761 balancing
1-19271 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-20701 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-21084 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-21086 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-21555 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-23421 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-24811 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-25082 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-25320 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-29046 0.00040004 -3.3977 0.9304 -1e-04 0.004761 balancing
1-29452 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-29485 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-29860 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-30201 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-31225 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-31622 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-31770 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-34144 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-34321 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-35101 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-35220 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-38202 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-39343 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-39565 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-39903 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-39929 0.00040004 -3.3977 0.9304 -1e-04 0.004761 balancing
1-48356 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-48495 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-49300 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-50463 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-56228 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-56942 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-60733 0.00020002 -3.6988 0.9926 -4e-04 0.00476 balancing
1-60750 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-68278 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-70018 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-71155 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-71429 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-71947 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-73210 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-77948 0.00030003 -3.5227 0.9776 -1e-04 0.004761 balancing
1-78208 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-80352 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-80762 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-80988 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-82646 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-82914 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-89237 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-90111 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-90699 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-91614 0.00040004 -3.3977 0.9304 -4e-04 0.00476 balancing
1-91833 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-93096 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-96815 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-97478 0.00040004 -3.3977 0.9304 -3e-04 0.00476 balancing
1-97487 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-98108 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-98604 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-100560 0.00040004 -3.3977 0.9304 -3e-04 0.00476 balancing
1-100618 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-100637 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-100758 0.00040004 -3.3977 0.9304 -2e-04 0.00476 balancing
1-101545 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-102086 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-103827 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-104150 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-104277 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-104296 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-104571 0.00040004 -3.3977 0.9304 -2e-04 0.00476 balancing
1-104620 0.00010001 -3.9999 0.9969 -3e-04 0.00476 balancing
1-105561 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-105849 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-109637 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-109687 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-109707 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-109957 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-110123 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-112113 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-112578 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-112585 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-115281 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-116509 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-117396 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-117601 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-118977 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-119387 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-120198 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-120723 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-121010 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-123997 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-128124 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-128747 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-129000 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-129494 0.00020002 -3.6988 0.9926 -4e-04 0.00476 balancing
1-130655 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-130663 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-131989 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-132878 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-132957 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-135412 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-137595 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-139621 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-140213 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-140886 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-145067 0.00040004 -3.3977 0.9304 -2e-04 0.00476 balancing
1-145891 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-146647 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-146931 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-147705 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-148293 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-149526 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-149538 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-149860 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-150054 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-150203 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-150828 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-150871 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
